phi,Ed_a,Ed_z1,Ed_z2
0,0,0,0
0.017453293,0.000351,-0.000232,-0.000502867
0.034906585,0.00199,0.000718,-0.000333612
0.052359878,0.00475,0.00245,5.68718E-05
0.06981317,0.00842,0.00523,0.00101621
0.087266463,0.01311,0.0092,0.002614199
0.104719755,0.01887,0.01386,0.004360899
0.122173048,0.02585,0.01973,0.006774822
0.13962634,0.03382,0.02657,0.009589706
0.157079633,0.04275,0.03425,0.012825549
0.174532925,0.05302,0.04299,0.016696099
0.20943951,0.07682,0.0635,0.025729195
0.244346095,0.1049,0.08828,0.036194972
0.27925268,0.13769,0.11713,0.048405271
0.314159265,0.1748,0.15028,0.062410979
0.34906585,0.21689,0.18686,0.078320396
0.383972435,0.26354,0.2287,0.096163591
0.41887902,0.31552,0.27408,0.116058798
0.453785606,0.37225,0.32388,0.13768397
0.488692191,0.43443,0.37846,0.160710528
0.523598776,0.50191,0.4372,0.185807331
0.558505361,0.57504,0.50047,0.212601444
0.593411946,0.65388,0.56849,0.241152189
0.628318531,0.73891,0.64144,0.271469906
0.663225116,0.83017,0.71855,0.303880724
0.698131701,0.92815,0.80144,0.337200267
0.733038286,1.03292,0.88916,0.372742846
0.767944871,1.14515,0.98189,0.409794568
0.802851456,1.2648,1.08022,0.448570405
0.837758041,1.39282,1.18406,0.488780283
0.872664626,1.52933,1.29363,0.530749241
0.907571211,1.67492,1.40893,0.574017408
0.942477796,1.83036,1.53064,0.619180577
0.977384381,1.99598,1.65839,0.665581728
1.012290966,2.17285,1.79278,0.713695973
1.047197551,2.36184,1.93365,0.76341433
1.082104136,2.56356,2.08181,0.81431271
1.117010721,2.7791,2.23762,0.866481998
1.151917306,3.00969,2.40085,0.920437986
1.186823891,3.25669,2.5719,0.975756313
1.221730476,3.52124,2.75063,1.032851409
1.256637061,3.80516,2.93866,1.0921226
1.291543646,4.10997,3.13528,1.152709599
1.326450232,4.43785,3.34114,1.215588069
1.361356817,4.79077,3.55653,1.280872571
1.396263402,5.17096,3.78208,1.348255481
1.431169987,5.58124,4.01767,1.418888656
1.466076572,6.0227,4.26356,1.492806383
1.500983157,6.49695,4.51948,1.570953851
1.535889742,7.00592,4.78686,1.65281513
1.570796327,7.55146,5.06488,1.74035121
