kb_x0.1_x_r,kb_x0.1_x_L_norm,kb_x0.1_x_pe_atom,kb_x0.1_x_ebond_atom,kb_x0.1_x_eangle_atom,kb_x0.1_x_edihed_atom,kb_x0.1_x_bm,kb_x0.1_x_r_theory,kb_x0.1_x_r/r_theory,kb_x0.1_y_r,kb_x0.1_y_L_norm,kb_x0.1_y_pe_atom,kb_x0.1_y_ebond_atom,kb_x0.1_y_eangle_atom,kb_x0.1_y_edihed_atom,kb_x0.1_y_bm,kb_x0.1_y_r_theory,kb_x0.1_y_r/r_theory
1.950345887,1.038244993,0.333514847,7.96766E-29,0.026161428,0.307353419,0.926686785,2.001048226,0.97466211,2.002478662,1.04820349,0.318198103,8.72506E-29,0.021403533,0.29679457,0.932025728,2.079550317,0.962938307
2.321410019,1.040783682,0.25618179,3.69775E-27,0.020830998,0.235350792,1.008431692,2.401257871,0.96674749,2.680498136,1.038925453,0.211890426,2.43126E-28,0.011817522,0.200072904,1.112082159,2.772733757,0.966734772
2.705665005,1.039095776,0.201749742,3.56468E-25,0.01605068,0.185699062,1.078836319,2.801467516,0.965802741,3.37300399,1.030485916,0.147989752,1.64733E-28,0.006692256,0.141297496,1.229871883,3.465917196,0.973192318
3.097097944,1.036151785,0.16251835,2.65955E-25,0.012317714,0.150200636,1.138693408,3.201677161,0.967336114,4.070535152,1.023986859,0.10819246,4.22034E-29,0.003955975,0.104236485,1.309466932,4.159100635,0.978705617
3.492804647,1.032952137,0.133478235,6.58158E-25,0.009503539,0.123974695,1.189470203,3.601886807,0.969715273,4.769564959,1.019138245,0.082141292,4.66011E-29,0.002445267,0.079696026,1.364940084,4.852284074,0.982952541
3.891185591,1.029866007,0.11144753,4.33236E-25,0.007395709,0.104051821,1.232619005,4.002096452,0.97228681,5.468745739,1.01551455,0.064302152,4.96882E-29,0.0015752,0.062726952,1.404738517,5.545467513,0.986164958
4.29128622,1.02702561,0.094369772,1.38361E-25,0.005811066,0.088558707,1.269411395,4.402306097,0.974781427,6.167575812,1.012772881,0.051610983,5.05963E-29,0.001052672,0.050558311,1.434054472,6.238650952,0.98860729
4.69250582,1.024466674,0.080880668,7.68359E-27,0.004610616,0.076270052,1.300914909,4.802515742,0.977093272,6.86589515,1.010666325,0.042288424,3.25738E-26,0.000726503,0.041561922,1.456164233,6.931834391,0.990487476
5.094452313,1.022184628,0.070050652,6.41308E-28,0.003692908,0.066357745,1.328011106,5.202725387,0.979189162,7.563682785,1.00902197,0.035253162,3.40735E-29,0.000515712,0.034737451,1.473191541,7.625017831,0.991956078
7.914125307,1.011978274,0.031504082,2.24254E-28,0.000978516,0.030525565,1.441342497,8.004192904,0.988747448,8.260972021,1.007718845,0.029821024,1.03303E-28,0.000375214,0.02944581,1.486549519,8.31820127,0.993119997
15.95486681,1.003573693,0.00821768,2.38374E-28,8.18374E-05,0.008135842,1.528023691,16.00838581,0.996656815,8.957814225,1.006671535,0.025543578,3.33846E-28,0.000278967,0.025264611,1.497201856,9.011384709,0.994055244
31.98862914,1.000941415,0.002079326,2.15785E-22,5.58053E-06,0.002073746,1.554205499,32.01677161,0.999121008,13.82714551,1.002960653,0.010986881,1.93571E-24,5.40508E-05,0.01093283,1.534383804,13.86366878,0.997365541
64.01928484,1.000238617,0.00052146,1.3171E-26,3.56897E-07,0.000521103,1.561122846,64.03354323,0.999777329,27.7085745,1.000761286,0.002774573,2.31577E-25,3.54089E-06,0.002771032,1.556033796,27.72733757,0.999323301
128.0599334,1.000059863,0.000130468,6.79513E-23,2.24366E-08,0.000130446,1.562877391,128.0670865,0.999944146,55.44522882,1.000191692,0.000695418,2.8818E-27,2.23979E-07,0.000695194,1.561596453,55.45467513,0.999829657
