kt_x10_x_r,kt_x10_x_L_norm,kt_x10_x_pe_atom,kt_x10_x_ebond_atom,kt_x10_x_eangle_atom,kt_x10_x_edihed_atom,kt_x10_x_bm,kt_x10_x_r_theory,kt_x10_x_r/r_theory,kt_x10_y_r,kt_x10_y_L_norm,kt_x10_y_pe_atom,kt_x10_y_ebond_atom,kt_x10_y_eangle_atom,kt_x10_y_edihed_atom,kt_x10_y_bm,kt_x10_y_r_theory,kt_x10_y_r/r_theory
1.950345887,1.038244993,3.335148465,2.23479E-28,0.261614277,3.073534189,9.266867848,2.001048226,0.97466211,2.002478662,1.04820349,3.181981028,1.35732E-25,0.214035332,2.967945696,9.320257277,2.079550317,0.962938307
2.321410019,1.040783682,2.561817901,1.5898E-23,0.208309983,2.353507918,10.08431692,2.401257871,0.96674749,2.680498136,1.038925453,2.118904258,1.13123E-28,0.118175223,2.000729035,11.12082159,2.772733757,0.966734772
2.705665005,1.039095776,2.017497423,1.29583E-26,0.160506802,1.856990621,10.78836319,2.801467516,0.965802741,3.37300399,1.030485916,1.479897519,2.58882E-28,0.066922557,1.412974962,12.29871883,3.465917196,0.973192318
3.097097944,1.036151785,1.625183505,1.41223E-26,0.123177142,1.502006363,11.38693408,3.201677161,0.967336114,4.070535152,1.023986859,1.0819246,5.10144E-29,0.039559746,1.042364854,13.09466932,4.159100635,0.978705617
3.492804647,1.032952137,1.334782347,1.73528E-28,0.095035392,1.239746955,11.89470203,3.601886807,0.969715273,4.769564959,1.019138245,0.821412923,5.71969E-29,0.024452667,0.796960256,13.64940084,4.852284074,0.982952541
3.891185591,1.029866007,1.114475303,9.36304E-29,0.073957091,1.040518211,12.32619005,4.002096452,0.97228681,5.468745739,1.01551455,0.643021517,6.59876E-29,0.015751998,0.62726952,14.04738517,5.545467513,0.986164958
4.29128622,1.02702561,0.943697724,1.60087E-23,0.058110656,0.885587068,12.69411395,4.402306097,0.974781427,6.167575812,1.012772881,0.516109834,1.07513E-24,0.010526722,0.505583112,14.34054472,6.238650952,0.98860729
4.69250582,1.024466674,0.808806681,8.89064E-25,0.046106164,0.762700518,13.00914909,4.802515742,0.977093272,6.86589515,1.010666325,0.422884244,1.12516E-23,0.007265027,0.415619218,14.56164233,6.931834391,0.990487476
5.094452313,1.022184628,0.700506522,1.22388E-23,0.036929077,0.663577445,13.28011106,5.202725387,0.979189162,7.563682785,1.00902197,0.352531625,1.82091E-28,0.00515712,0.347374505,14.73191541,7.625017831,0.991956078
7.914125307,1.011978274,0.315040818,1.85545E-27,0.009785164,0.305255654,14.41342497,8.004192904,0.988747448,8.260972021,1.007718845,0.298210243,5.02166E-28,0.003752142,0.294458101,14.86549519,8.31820127,0.993119997
15.95486681,1.003573693,0.082176795,1.40384E-28,0.000818374,0.081358421,15.28023691,16.00838581,0.996656815,8.957814225,1.006671535,0.255435781,1.1784E-27,0.002789673,0.252646108,14.97201856,9.011384709,0.994055244
31.98862914,1.000941415,0.020793264,2.692E-26,5.58053E-05,0.020737458,15.54205499,32.01677161,0.999121008,13.82714551,1.002960653,0.109868809,1.3909E-23,0.000540508,0.109328302,15.34383804,13.86366878,0.997365541
64.01928484,1.000238617,0.005214599,2.83659E-22,3.56897E-06,0.00521103,15.61122846,64.03354323,0.999777329,27.7085745,1.000761286,0.027745729,1.02998E-24,3.54089E-05,0.02771032,15.56033796,27.72733757,0.999323301
128.0599334,1.000059863,0.00130468,1.55802E-22,2.24366E-07,0.001304455,15.62877391,128.0670865,0.999944146,55.44522882,1.000191692,0.00695418,7.68227E-27,2.23979E-06,0.00695194,15.61596453,55.45467513,0.999829657
